,id_HDATA,Respondent.Serial.SourceFile,Respondent.Origin,Respondent.Origin.Other,DataCollection.Status,DataCollection.InterviewerID,DataCollection.StartTime,DataCollection.FinishTime,DataCollection.MetadataVersionNumber,DataCollection.MetadataVersionGUID,DataCollection.RoutingContext,DataCollection.Variant,DataCollection.EndQuestion,DataCollection.TerminateSignal,DataCollection.SeedValue,DataCollection.InterviewEngine,DataCollection.CurrentPage,DataCollection.Debug,DataCollection.QuotaID,DataCleaning.Note,DataCleaning.Status,DataCleaning.ReviewStatus,address,age,before,biology,expect,gen_ent,gender,museums,visits,visits12,adults,under16s,under11s,galleries,rating_ent[{dinosaurs}].rating_ent_grid,rating_ent[{whales}].rating_ent_grid,human,species,rating_ent[{mammals}].rating_ent_grid,genbalance,agebalance,_name,oth_mus,plan,prefer,school,signs,similar,sounds,side_main,serial,entrance,education,certificat,location,who_with,grp_type,group_org,resident,distance,interview,time_spent,long_short,remember,interest,found_way,signs_how,desc_leave,when_decid,why_decid,plan_time,plan_none,plan_view,know_way,find_way,desc_enter,visothers,plan_order[{first}].plan_order_grid,plan_order[{second}].plan_order_grid,plan_order[{third}].plan_order_grid,plan_order[{fourth}].plan_order_grid,plan_order[{fifth}].plan_order_grid,order[{sixth}].order_grid,order[{seventh}].order_grid,order[{eighth}].order_grid,order[{ninth}].order_grid,order[{tenth}].order_grid,order[{eleventh}].order_grid,order[{twelfth}].order_grid,order[{thirteenth}].order_grid,order[{fourteenth}].order_grid,order[{fifteenth}].order_grid,order[{sixteenth}].order_grid,rating[{other}].rating_grid,rating_ent[{dinosaurs}].rating_ent_grid,rating_ent[{conservation}].rating_ent_grid,rating_ent[{fish_and_reptiles}].rating_ent_grid,rating_ent[{fossils}].rating_ent_grid,rating_ent[{birds}].rating_ent_grid,rating_ent[{insects}].rating_ent_grid,rating_ent[{whales}].rating_ent_grid,rating_ent[{mammals}].rating_ent_grid,rating_ent[{minerals}].rating_ent_grid,rating_ent[{ecology}].rating_ent_grid,rating_ent[{botany}].rating_ent_grid,rating_ent[{origin_of_species}].rating_ent_grid,rating_ent[{human_biology}].rating_ent_grid,rating_ent[{evolution}].rating_ent_grid,rating_ent[{wildlife_in_danger}].rating_ent_grid,plan_order[{first}].plan_order_grid,plan_order[{second}].plan_order_grid,plan_order[{third}].plan_order_grid,plan_order[{fourth}].plan_order_grid,plan_order[{fifth}].plan_order_grid,rating_ent[{dinosaurs}].rating_ent_grid,rating_ent[{conservation}].rating_ent_grid,rating_ent[{fish_and_reptiles}].rating_ent_grid,rating_ent[{fossils}].rating_ent_grid,rating_ent[{birds}].rating_ent_grid,rating_ent[{insects}].rating_ent_grid,rating_ent[{whales}].rating_ent_grid,rating_ent[{mammals}].rating_ent_grid,rating_ent[{minerals}].rating_ent_grid,rating_ent[{ecology}].rating_ent_grid,rating_ent[{botany}].rating_ent_grid,rating_ent[{origin_of_species}].rating_ent_grid,rating_ent[{human_biology}].rating_ent_grid,rating_ent[{evolution}].rating_ent_grid,rating_ent[{wildlife_in_danger}].rating_ent_grid,@1
0,1,,,,177;,,2002-07-19 12:42:30.999,2002-07-19 14:52:31.000,,,186,,,,,,,,,,,,"124 Dill Hall Lane, Church Ditton",5,1,2,1.0,1,1,1;,1.0,0.0,5.0,1.0,2.0,,,,,,,0.887905657291412,0.826923131942749,Roger Ferrar,1,2.0,,,,2, ,Main,1,1,2,,,2,3.0,,1,5.0,1,,,,,,,,5.0,6.0,6.0,1.0,,,,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,1;,4;,1;,4;,4;,1;,2;,4;,1;,1;,4;,4;,4;,4;,1.0
1,2,,,,177;,,2002-07-19 12:42:30.999,2002-07-19 16:52:31.000,,,186,,,,,,,,,,,,"22 Southbank Road, Hounslow",4,2,2,8.0,2,2,1;,,,3.0,1.0,0.0,,,,,,,1.14448666572571,0.391927063465118,Shauna Pocklington,1,2.0,,,,1, ,Main,2,1,2,,1;,2,3.0,,1,2.0,1,,,,,,,,5.0,1.0,3.0,2.0,,2.0,1;2;,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,3;,3;,4;,3;,3;,4;,4;,5;,4;,4;,4;,3;,4;,4;,1.0
2,3,,,,177;,,2002-07-19 12:42:30.999,2002-07-19 18:52:31.000,,,186,,,,,,,,,,,,"Gatehouse, Church Strarmthorpe",4,2,2,3.0,2,2,2;5;,,,,,,,,,,,,1.14448666572571,0.391927063465118,Julia Von Bergen,1,2.0,,,,1, ,Main,3,1,2,,2;,1,,,1,6.0,1,,,,,,,,2.0,5.0,4.0,1.0,,,,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,2;,1;,3;,5;,1;,4;,1;,1;,4;,1;,4;,3;,4;,5;,1.0
3,4,,,,177;,,2002-07-19 12:42:30.999,2002-07-19 20:52:31.000,,,186,,,,,,,,,,,,"151 Linacre Road, London SE2",4,1,2,2.0,1,1,1;,6.0,0.0,2.0,1.0,0.0,,,,,,,0.887905657291412,0.391927063465118,Michael King,1,1.0,,,,1, ,Main,4,1,2,,3;,2,3.0,,1,1.0,1,,,,,,,,1.0,4.0,4.0,,1;,1.0,,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,;,;,;,;,5;,2;,4;,4;,1;,4;,1;,1;,4;,1;,1;,4;,1;,4;,1;,1.0
4,5,,,,177;,,2002-07-19 12:42:30.999,2002-07-19 22:52:31.000,,,186,,,,,,,,,,,,"73 Kings Road, North Ormesby",5,1,2,1.0,2,2,1;4;5;,2.0,0.0,2.0,1.0,0.0,,,,,,,1.14448666572571,0.826923131942749,Tatum Walker,1,2.0,,7.0,,1, ,Main,5,1,1,,2;,2,3.0,,1,7.0,1,,,,,,,,11.0,3.0,3.0,2.0,,2.0,1;,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5;,2;,4;,4;,4;,4;,5;,4;,5;,4;,4;,4;,3;,5;,4;,1.0
5,6,,,,177;,,2002-07-19 12:42:30.999,2002-07-20 00:52:31.000,,,186,,,,,,,,,,,,"30 Great Queen Square, Aberdeen",2,1,2,1.0,1,1,4;,1.0,0.0,3.0,1.0,0.0,,,,,,,0.887905657291412,0.917682945728302,David Memel,1,2.0,,,,1, ,Main,6,1,2,,1;,2,3.0,,1,8.0,1,,,,,,,,1.0,2.0,3.0,1.0,,,,3;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5;,2;,1;,5;,1;,1;,2;,4;,1;,4;,4;,4;,1;,4;,5;,1.0
6,7,,,,177;,,2002-07-19 12:42:30.999,2002-07-20 02:52:31.000,,,186,,,,,,,,,,,, ,4,1,2,1.0,2,2,2;4;5;6;,1.0,1.0,,,,,,,,,,1.14448666572571,0.391927063465118, ,1,2.0,,,,2, ,Main,7,1,2,,,1,,,2,,1,,,,,,,,2.0,2.0,4.0,2.0,,1.0,,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5;,5;,4;,3;,2;,2;,5;,5;,4;,4;,4;,5;,5;,5;,5;,1.0
7,8,,,,177;,,2002-07-19 12:42:30.999,2002-07-20 04:52:31.000,,,186,,,,,,,,,,,,"The Croft, Kirkbride",5,1,2,1.0,1,1,,1.0,0.0,3.0,0.0,1.0,,,,,,,0.887905657291412,0.826923131942749,Richard Lawson,2,2.0,,,,2, ,Main,8,1,2,,,2,3.0,,1,6.0,1,,,,,,,,4.0,6.0,6.0,1.0,,,,12;,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;,4;,4;,5;,3;,4;,5;,5;,5;,2;,1;,4;,3;,3;,4;,1.0
8,9,,,,177;,,2002-07-19 12:42:30.999,2002-07-20 06:52:31.000,,,186,,,,,,,,,,,,"Claremont, Mesnes Street, Windsor",6,1,2,3.0,2,2,1;6;,2.0,1.0,2.0,1.0,1.0,,,,,,,1.14448666572571,1.36818182468414,Mrs Nina Leech,1,2.0,,,,2, ,Main,9,1,2,,,2,3.0,,1,3.0,1,,,,,,,,10.0,6.0,6.0,2.0,,2.0,1;4;,12;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5;,3;,5;,5;,4;,4;,4;,5;,4;,2;,1;,5;,3;,5;,5;,1.0
9,10,,,,177;,,2002-07-19 12:42:30.999,2002-07-20 08:52:31.000,,,186,,,,,,,,,,,,"15 Lidgett Lane, Dinnington",4,1,1,2.0,2,2,,6.0,3.0,2.0,1.0,0.0,,,,,,,1.14448666572571,0.391927063465118,Rachel Paterson,2,1.0,,,,1, ,Main,10,1,2,5;,2;,2,3.0,,1,4.0,1,,,,,,,,5.0,7.0,4.0,,1;7;12;,1.0,,12;,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;,7;,12;,;,;,5;,5;,5;,5;,5;,5;,5;,5;,5;,5;,5;,5;,5;,5;,5;,1.0
